"","District","OBJECTID","PROVINCE","DISTRICT","Shape_Leng","ADMIN_UNIT","Shape_Le_1","Shape_Le_2","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density"
"1","ATTOCK",88,"PUNJAB","ATTOCK",4.74205429734,"DISTRICT",4.74205429943,4.74205429943,0.662319820976,"85",5.20146250324388,402.266282118511,0.407938553853127,0.685066819190979,9,0,2045561.04437928,392790.114035,3088479.28084793
"2","BAHAWALNAGAR",89,"PUNJAB","BAHAWALNAGAR",7.04632409325,"DISTRICT",7.04632408565,7.04632408565,0.79642644729,"86",7.09317564564236,150.427910958904,0.71695626125739,0.668068907477639,10,0,3197027.82268582,426553.948942,4014216.04413609
"3","BAHAWALPUR",90,"PUNJAB","BAHAWALPUR",9.20493568697,"DISTRICT",9.20493567606,9.20493567606,2.21050819571,"87",2.968808858082,115.459663231968,0.836344017164988,-0.250864167180326,106,0,3807164.53809156,583737.15937,1722302.83763717
"4","BHAKKAR",91,"PUNJAB","BHAKKAR",4.59614473944,"DISTRICT",4.59614474226,4.59614474226,0.810285807515,"88",3.55536862496165,172.037484988849,0.751026671469574,0.704666150467736,14,0,1642346.9833552,336050.55987,2026873.68842357
"5","CHAKWAL",92,"PUNJAB","CHAKWAL",4.77599636092,"DISTRICT",4.7759963602,4.7759963602,0.643806390666,"89",4.61454305935456,501.153033732083,0.411950602523726,0.570845554272334,0,0,1704791.22824979,336784.641014,2647987.42753428
"6","CHINIOT",93,"PUNJAB","CHINIOT",2.65363834506,"DISTRICT",2.65363834471,2.65363834471,0.248165701969,"90",10.4787714864765,175.857622377622,0.455123670132352,0.50775933265686,37,0,1518126.07693502,153498.301456,6117388.76440171
"7","FAISALABAD",95,"PUNJAB","FAISALABAD",4.23381568963,"DISTRICT",4.23381568835,4.23381568835,0.564301758515,"92",25.2508580672549,179.671757605616,0.463338147688711,0.458538819443096,72,0,8481198.50098624,382136.949175,15029544.6948546
"8","GUJRANWALA",96,"PUNJAB","GUJRANWALA",3.00084745111,"DISTRICT",3.0008474495,3.0008474495,0.346384484495,"93",25.7696349415943,217.828485456369,0.445303436231173,0.569451505939166,12,0,5323630.48115532,345277.212666,15369136.6659125
"9","GUJRAT",97,"PUNJAB","GUJRAT",2.48359309713,"DISTRICT",2.48359309613,2.48359309613,0.305540333458,"94",17.9984279874604,256.187884308813,0.304424552360587,0.5778116106987,12,0,3244105.42267537,357918.082423,10617601.2376491
"10","HAFIZABAD",98,"PUNJAB","HAFIZABAD",2.15455583292,"DISTRICT",2.15455583351,2.15455583351,0.217050326129,"95",10.4150507554307,199.67904,0.446216741976738,0.499427328507106,12,0,1308444.91544734,148843.973522,6028302.00158137
"11","JHANG",99,"PUNJAB","JHANG",5.09898591808,"DISTRICT",5.09898591629,5.09898591629,0.601086020169,"96",8.45940668849271,152.338955637708,0.532117270457718,0.549481800198555,81,0,2968989.00278394,524853.112422,4939374.57062999
"12","JHELUM",100,"PUNJAB","JHELUM",4.0553205683,"DISTRICT",4.05532056477,4.05532056477,0.344651991387,"97",7.30839197183737,305.091696896413,0.385517676586225,0.595126993954182,53,0,1452558.14707742,188893.028489,4214564.78818479
"13","KASUR",101,"PUNJAB","KASUR",3.86861204144,"DISTRICT",3.86861204172,3.86861204172,0.367986215178,"98",17.2355994081194,194.685072353389,0.544146577943182,0.489721010128657,27,0,3677418.6489151,338336.247787,9993359.79782905
"14","KHANEWAL",102,"PUNJAB","KHANEWAL",4.1761099865,"DISTRICT",4.17570819221,4.17570819221,0.409342283818,"154",13.7545834506467,136.211479850999,0.591996129698102,0.486766625195742,23,0,3248561.34443162,593808.261661,7936051.25307792
"15","KHUSHAB",103,"PUNJAB","KHUSHAB",4.03690851092,"DISTRICT",4.03690851077,4.03690851077,0.633296329864,"99",3.87733742730347,293.057926494789,0.544113469292841,0.773885607719421,34,0,1431004.84394465,264473.308355,2259613.35391279
"16","LAHORE",104,"PUNJAB","LAHORE",2.49228064269,"DISTRICT",2.44603830281,2.44603830281,0.159835021237,"100",98.6216474835866,210.071961386573,0.429914912465466,0.454719007015228,22,0,9794432.35059328,381198.794878,61278387.3946518
"17","LAYYAH",105,"PUNJAB","LAYYAH",3.99690767196,"DISTRICT",3.99690767054,3.99690767054,0.602245364992,"101",5.04994061164604,147.125259037532,0.785697587106312,0.650166117482715,19,0,1766937.10631942,425365.466249,2933915.65801905
"18","LODHRAN",106,"PUNJAB","LODHRAN",3.4928707464,"DISTRICT",3.49287074559,3.49287074559,0.248084429151,"102",12.8283931939693,117.618461538462,0.715123651978019,0.606986254453659,1,0,1824277.32981881,283312.504101,7353453.5644252
"19","MANDI BAHAUDDIN",107,"PUNJAB","MANDI BAHAUDDIN",2.63685589849,"DISTRICT",2.63685590419,2.63685590419,0.264554251075,"103",11.983052778859,209.447596532703,0.432236719546587,0.574253612756729,10,0,1810941.57453636,272120.549359,6845256.0001501
"20","MIANWALI",108,"PUNJAB","MIANWALI",4.19334652859,"DISTRICT",4.19334652642,4.19334652642,0.579552225282,"104",4.83091786192222,294.413941789436,0.525759830454631,0.710099250078201,54,0,1658109.82545084,346876.109,2861018.82301294
"21","MULTAN",109,"PUNJAB","MULTAN",4.04397871066,"DISTRICT",4.0439787105,4.0439787105,0.3406389045,"105",23.7270217927448,116.45625127473,0.677117457462529,0.506553792953491,36,0,4891622.90715121,514670.6738,14360141.6119256
"22","NANKANA SAHIB",111,"PUNJAB","NANKANA SAHIB",4.27509595409,"DISTRICT",4.27509594818,4.27509594818,0.263333165077,"107",13.2256819930666,194.204312384959,0.514868670440241,0.438362995783488,42,0,1969877.87041823,151597.989915,7480553.65469149
"23","NAROWAL",112,"PUNJAB","NAROWAL",2.80192735958,"DISTRICT",2.7992446861,2.7992446861,0.222258966408,"108",15.5766376828859,253.820447284345,0.553762364759924,0.503532985846202,23,0,1968210.66022459,157452.560336,8855483.72708415
"24","OKARA",113,"PUNJAB","OKARA",4.27127460327,"DISTRICT",4.27127460258,4.27127460258,0.415705929918,"109",14.5071223493229,176.425360617243,0.620836543544735,0.502464840809504,23,0,3481221.91553384,397742.937451,8374241.6573671
"25","PAK PATTAN",114,"PUNJAB","PAK PATTAN",3.77322273844,"DISTRICT",3.77322273879,3.77322273879,0.270870945779,"110",13.2945318925168,159.345064613693,0.647243883088948,0.529451827208201,0,0,NA,291294.101476,NA
"26","RAJANPUR",116,"PUNJAB","RAJANPUR",6.24914605142,"DISTRICT",6.24914605488,6.24914605488,1.16202125103,"112",2.6075745467367,280.362032884903,0.836241549407073,0.06085036930285,46,0,1760055.00074864,328889.512723,1514649.580796
"27","RAWALPINDI",117,"PUNJAB","RAWALPINDI",5.48900514819,"DISTRICT",5.48900514908,5.48900514908,0.504839078692,"113",17.1144359033049,612.96397139714,0.409630442097339,0.528526622802019,37,0,5274662.33939513,595128.536485,10448205.3034828
"28","SAHIWAL",118,"PUNJAB","SAHIWAL",4.25915948587,"DISTRICT",4.25915948775,4.25915948775,0.30303866723,"114",16.3541532607322,160.501609195402,0.539552808509677,0.461781747639179,6,0,2886651.07496765,373971.029387,9525685.62076185
"29","SARGODHA",119,"PUNJAB","SARGODHA",4.66255213833,"DISTRICT",4.66255213698,4.66255213698,0.552218316126,"115",13.0239265811437,185.334801207851,0.462804920169168,0.519013004170524,9,0,4164194.6867447,343380.14397,7540848.54692605
"30","SHEIKHUPURA",120,"PUNJAB","SHEIKHUPURA",4.1066287642,"DISTRICT",4.1066287608,4.1066287608,0.288328633032,"116",18.8256946288525,207.419059107358,0.43102157368071,0.513686001300812,22,0,3229667.23469843,255363.792672,11201340.6394501
"31","SIALKOT",121,"PUNJAB","SIALKOT",2.88480719473,"DISTRICT",3.27031717559,3.27031717559,0.296505196022,"117",24.8927908718063,241.538662239089,0.422726228472601,0.511003994941711,2,0,4254666.15661976,235608.605029,14349381.4398587
"32","VEHARI",123,"PUNJAB","VEHARI",4.94444460735,"DISTRICT",4.94444460503,4.94444460503,0.419417708509,"119",13.5523342882329,137.510264900662,0.584603976089605,0.604429717574801,33,0,3246500.24300064,473061.652442,7740493.96851106
