"","TEHSIL","OBJECTID","PROVINCE","DISTRICT","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","school_level","edu_mode"
"1","18-HAZARI",335,"PUNJAB","JHANG",2.82382746245,1656.38940765,2.8238274598,0.156673432882,"333",2,2
"2","AHMADPUR EAST",299,"PUNJAB","BAHAWALPUR",1.93178662608,1478.92405598,1.93178662251,0.137260383826,"297",2,2
"3","AHMEDPUR SIAL",336,"PUNJAB","JHANG",1.60514279042,862.891123494,1.60514279469,0.081254902888,"334",2,2
"4","ALIPUR",372,"PUNJAB","MUZAFFARGARH",2.11452253728,1237.96880365,2.1145225361,0.114990192053,"369",5,5
"5","ARIFWALA",386,"PUNJAB","PAK PATTAN",2.39439927974,1361.71494823,2.24961725073,0.108238775033,"383",2,2
"6","ATTOCK",288,"PUNJAB","ATTOCK",2.18616218185,1090.68004581,2.18616218911,0.105943930102,"286",5,5
"7","BAHAWALNAGAR",294,"PUNJAB","BAHAWALNAGAR",2.12912171388,1803.39534023,2.16642707859,0.186810514192,"292",2,2
"8","BAHAWALPUR",300,"PUNJAB","BAHAWALPUR",2.73940956816,1181.25213355,2.73940957036,0.10962840541,"298",5,5
"9","BAHAWALPUR CITY",301,"PUNJAB","BAHAWALPUR",1.53152629898,245.826837743,1.53152630021,0.0228364694867,"299",5,5
"10","BHAKKAR",305,"PUNJAB","BHAKKAR",2.32535357851,1830.76182111,2.32535358358,0.173854499289,"303",2,2
"11","BHALWAL",405,"PUNJAB","SARGODHA",1.86984630083,1282.58564193,1.86984629344,0.122544463329,"402",2,2
"12","BHAWANA",313,"PUNJAB","CHINIOT",1.54797736939,933.525449936,1.54797736906,0.0884537512945,"311",2,2
"13","BUREWALA",422,"PUNJAB","VEHARI",2.32533132057,1501.83236697,2.32533131861,0.140263986149,"418",2,2
"14","CHAK JHUMRA",319,"PUNJAB","FAISALABAD",1.03382883415,524.889447645,1.03382883349,0.0497455691759,"317",4,4
"15","CHAKWAL",309,"PUNJAB","CHAKWAL",2.43162580846,2198.63402934,2.43162580967,0.21162524639,"307",5,5
"16","CHAUBARA",356,"PUNJAB","LAYYAH",2.25973300018,2940.54723847,2.25973300174,0.277324077191,"353",2,2
"17","CHICHAWATNI",403,"PUNJAB","SAHIWAL",2.60438483431,1587.54823798,2.60438483507,0.148738680975,"400",2,2
"18","CHINIOT",314,"PUNJAB","CHINIOT",1.6546829257,699.458196472,1.65468292555,0.0663534855522,"312",2,2
"19","CHISHTIAN",295,"PUNJAB","BAHAWALNAGAR",2.45105532732,1823.78394265,2.45105531731,0.169562479346,"293",2,2
"20","CHOA SAIDAN SHAH",310,"PUNJAB","CHAKWAL",1.28463763389,501.718902781,1.28463763433,0.0481421202312,"308",2,2
"21","CHUNIAN",343,"PUNJAB","KASUR",1.82977106657,1181.82403748,1.82977106794,0.11094759583,"341",2,2
"22","DARYA KHAN",306,"PUNJAB","BHAKKAR",2.04510005276,1384.6620652,2.04510005477,0.13184421513,"304",2,2
"23","DASKA",415,"PUNJAB","SIALKOT",1.76277526185,754.418009897,1.76277525861,0.0718298774709,"412",4,4
"24","DE-EXCLUDED AREA D.G.KHAN",316,"PUNJAB","DERA GHAZI KHAN",3.96172282897,5400.39160271,3.96172283377,0.507164769339,"314",NA,NA
"25","DE-EXCLUDED AREA RAJANPUR",392,"PUNJAB","RAJANPUR",4.67638595741,4794.03065535,4.67638595733,0.445137626897,"389",NA,NA
"26","DEPALPUR",383,"PUNJAB","OKARA",2.93788346197,2560.28307703,2.93788346065,0.239735580389,"380",2,2
"27","DERA GHAZI KHAN",317,"PUNJAB","DERA GHAZI KHAN",3.01918214499,3621.19030989,3.01918214462,0.338753255345,"315",5,5
"28","DINA",339,"PUNJAB","JHELUM",2.12108622853,724.886527837,2.12108622953,0.0696878980999,"337",4,4
"29","DUNYA PUR",359,"PUNJAB","LODHRAN",1.79712404302,806.767928427,1.79712404092,0.0752333544217,"356",2,2
"30","FAISALABAD CITY",320,"PUNJAB","FAISALABAD",0.711983252894,200.950290049,0.711983255277,0.0190071083942,"318",5,5
"31","FAISALABAD SADDAR",321,"PUNJAB","FAISALABAD",2.49356521155,1295.25603403,2.49356521185,0.122435613763,"319",NA,NA
"32","FATEH JANG",289,"PUNJAB","ATTOCK",1.88092210929,1310.41839628,1.8809221135,0.126920035436,"287",2,2
"33","FEROZEWALA",411,"PUNJAB","SHEIKHUPURA",1.41514857599,459.805425732,1.41514858,0.0435004213713,"408",2,2
"34","FORT ABBAS",296,"PUNJAB","BAHAWALNAGAR",2.75161484274,2401.52456911,2.75161484294,0.222078140748,"294",2,2
"35","GOJRA",419,"PUNJAB","TOBA TEK SINGH",1.76805820098,691.338835198,1.76805820536,0.0652422067394,"416",4,4
"36","GUJAR KHAN",396,"PUNJAB","RAWALPINDI",2.32020822593,1480.87761076,2.32020822135,0.142837678932,"393",5,5
"37","GUJRANWALA",325,"PUNJAB","GUJRANWALA",2.07008536976,787.248304336,2.0700853658,0.0748688664227,"323",4,4
"38","GUJRANWALA CITY",326,"PUNJAB","GUJRANWALA",0.472759844967,79.3986074594,0.472759843897,0.00755086143794,"324",4,4
"39","GUJRAT",330,"PUNJAB","GUJRAT",2.02288037035,1437.93113871,2.02288036826,0.137498586922,"328",4,4
"40","HAFIZABAD",333,"PUNJAB","HAFIZABAD",1.43263955846,1102.35074242,1.43263955855,0.104911761787,"331",5,5
"41","HAROONABAD",297,"PUNJAB","BAHAWALNAGAR",1.61757858231,1130.12582369,1.61757858226,0.104785487036,"295",4,4
"42","HASILPUR",302,"PUNJAB","BAHAWALPUR",2.46603391559,1124.31672477,2.46603391269,0.104523331801,"300",2,2
"43","HASSANABDAL",290,"PUNJAB","ATTOCK",1.27983265136,381.159837084,1.27983264822,0.0370387113205,"288",2,2
"44","HAZRO",291,"PUNJAB","ATTOCK",1.21138895395,387.077207237,1.21138895688,0.0376718497539,"289",2,2
"45","ISAKHEL",365,"PUNJAB","MIANWALI",2.92341438718,1883.27458015,2.92341438284,0.18138317281,"362",2,2
"46","JAHANIAN",347,"PUNJAB","KHANEWAL",1.45683001044,499.727509199,1.45683001066,0.0467037462545,"345",2,2
"47","JALALPUR PIRWALA",368,"PUNJAB","MULTAN",1.58360418199,871.275606975,1.58360418294,0.0810897034058,"365",2,2
"48","JAMPUR",393,"PUNJAB","RAJANPUR",2.28883986333,2212.12198695,2.28883986292,0.206002067795,"390",2,2
"49","JAND",292,"PUNJAB","ATTOCK",3.18130298531,2122.88996139,3.18130298674,0.205458977304,"290",4,4
"50","JARANWALA",322,"PUNJAB","FAISALABAD",2.2915847202,1733.36550195,2.29158472165,0.163703285004,"320",2,2
"51","JATOI",373,"PUNJAB","MUZAFFARGARH",1.72291298614,1033.16723336,1.7229129853,0.0962393044272,"370",2,2
"52","JHANG",337,"PUNJAB","JHANG",3.51936040663,2615.34330548,3.51936039879,0.247510805332,"335",2,2
"53","JHELUM",340,"PUNJAB","JHELUM",2.17828495334,605.697096804,2.17828495582,0.0581237798343,"338",4,4
"54","KABIRWALA",348,"PUNJAB","KHANEWAL",2.09632903821,1649.33782288,2.09632903847,0.154822348563,"346",2,2
"55","KAHUTA",397,"PUNJAB","RAWALPINDI",1.30855484875,614.738837862,1.30855484971,0.0595125445879,"394",5,5
"56","KALLAR KAHAR",311,"PUNJAB","CHAKWAL",1.51871034445,831.659844434,1.51871034369,0.0798594359591,"309",2,2
"57","KALLAR SAYYEDAN",398,"PUNJAB","RAWALPINDI",1.38207650907,471.215128682,1.38207650772,0.0455330586755,"395",4,4
"58","KALUR KOT",307,"PUNJAB","BHAKKAR",1.93806691189,1749.69732296,1.93806691214,0.167006998465,"305",2,2
"59","KAMALIA",420,"PUNJAB","TOBA TEK SINGH",2.2263451707,1117.0210278,2.2259433776,0.104929680598,"552",2,2
"60","KAMOKE",327,"PUNJAB","GUJRANWALA",1.64943777675,681.300449904,1.64943777354,0.0646604484061,"325",4,4
"61","KAROR LAL ESAN",357,"PUNJAB","LAYYAH",1.77193661749,1417.97067094,1.77193661791,0.134190706245,"354",NA,NA
"62","KARORPACCA",360,"PUNJAB","LODHRAN",1.69493649807,714.550968972,1.69493650145,0.0664978827561,"357",2,2
"63","KASUR",344,"PUNJAB","KASUR",2.92286646652,1458.18747371,2.92286647186,0.137050059805,"342",2,2
"64","KHAIRPUR TAMEWALI",303,"PUNJAB","BAHAWALPUR",1.74800543405,725.334808558,1.74800543447,0.0674442908616,"301",2,2
"65","KHAN PUR",388,"PUNJAB","RAHIM YAR KHAN",3.51049162345,3064.41486578,3.51049162487,0.282515559213,"385",2,2
"66","KHANEWAL",349,"PUNJAB","KHANEWAL",1.86252546523,1192.84176893,1.86252547199,0.111678581631,"347",2,2
"67","KHARIAN",331,"PUNJAB","GUJRAT",1.7655625208,1267.41775713,1.76556251931,0.121413241345,"329",4,4
"68","KHUSHAB",351,"PUNJAB","KHUSHAB",3.21807433133,2948.08275164,3.21807433131,0.282120633646,"348",2,2
"69","KOT ADDU",374,"PUNJAB","MUZAFFARGARH",2.80958609351,3165.65535949,2.80958609222,0.297259256235,"371",2,2
"70","KOT MOMIN",406,"PUNJAB","SARGODHA",1.45493377696,893.807035936,1.45493377581,0.085142475251,"403",2,2
"71","KOT RADHA KISHAN",345,"PUNJAB","KASUR",1.07500856646,429.961468623,1.07500856362,0.0404713777675,"343",5,5
"72","KOTLI SATTIAN",399,"PUNJAB","RAWALPINDI",1.1416461299,368.717437104,1.14164612788,0.0357738018149,"396",4,4
"73","LAHORE CANTT",354,"PUNJAB","LAHORE",1.89688566457,1037.43841716,1.8506433392,0.0979041316303,"351",5,5
"74","LAHORE CITY",355,"PUNJAB","LAHORE",1.78899013741,656.331330988,1.78899013568,0.0619308895648,"352",5,5
"75","LALIAN",315,"PUNJAB","CHINIOT",2.45111226495,983.041660884,2.45111226872,0.0933584651224,"313",2,2
"76","LAYYAH",358,"PUNJAB","LAYYAH",2.08339814632,2022.48850758,2.08339814457,0.190730581555,"355",2,2
"77","LIAQAT PUR",389,"PUNJAB","RAHIM YAR KHAN",4.52230198472,4644.39522721,4.52230198127,0.427832750092,"386",2,2
"78","LODHRAN",361,"PUNJAB","LODHRAN",1.8860463158,1142.96395348,1.88604631292,0.106353191974,"358",2,2
"79","MAILSI",423,"PUNJAB","VEHARI",2.7438280031,1600.70171242,2.74382800834,0.149272386179,"419",2,2
"80","MALAKWAL",362,"PUNJAB","MANDI BAHAUDDIN",1.49364609961,749.137191113,1.49364609732,0.0716019165719,"359",2,2
"81","MANDI BAHAUDDIN",363,"PUNJAB","MANDI BAHAUDDIN",1.3554163592,878.770324106,1.35541635726,0.0840603532713,"360",2,2
"82","MANKERA",308,"PUNJAB","BHAKKAR",2.75352050749,3560.98494102,2.75352050637,0.33758009463,"306",2,2
"83","MIAN CHANNU",350,"PUNJAB","KHANEWAL",1.95870851483,1025.93116554,1.95830672507,0.0961376073697,"553",2,2
"84","MIANWALI",366,"PUNJAB","MIANWALI",2.77735101538,2952.13457317,2.77735101746,0.283593037576,"363",5,5
"85","MINCHINABAD",298,"PUNJAB","BAHAWALNAGAR",2.01380381391,1417.67937901,2.01380381224,0.132189415974,"296",2,2
"86","MULTAN CITY",369,"PUNJAB","MULTAN",0.90767468391,285.76531824,0.907674684462,0.0267518025454,"366",2,2
"87","MULTAN SADDAR",370,"PUNJAB","MULTAN",3.3057787094,1652.51714946,3.30577871126,0.154616692887,"367",2,2
"88","MURIDKE",412,"PUNJAB","SHEIKHUPURA",1.94167806466,949.578587079,1.94167806354,0.0899762354387,"409",2,2
"89","MURREE",400,"PUNJAB","RAWALPINDI",1.1674013694,384.903634487,1.16740136747,0.0373834065647,"397",5,5
"90","MUZAFFARGARH",375,"PUNJAB","MUZAFFARGARH",3.87569596861,2232.41857061,3.87569596601,0.208819362273,"372",2,2
"91","NANKANA SAHAB",376,"PUNJAB","NANKANA SAHIB",2.81182414419,1633.87601116,2.81182414106,0.154208975573,"373",2,2
"92","NAROWAL",380,"PUNJAB","NAROWAL",1.41311476229,732.930131567,1.41311476685,0.0695530053472,"377",4,4
"93","NOORPUR",352,"PUNJAB","KHUSHAB",2.35770529337,2401.75161753,2.35770529374,0.228638041638,"349",2,2
"94","NOWSHERA VIRKHAN",328,"PUNJAB","GUJRANWALA",1.5262022411,881.919645229,1.52620223534,0.0837694784389,"326",2,2
"95","OKARA",384,"PUNJAB","OKARA",2.19811270868,1248.68094529,2.19811270634,0.117288230741,"381",2,2
"96","PAK PATTAN",387,"PUNJAB","PAK PATTAN",2.40955020617,1536.43933886,2.40955020532,0.143632580544,"384",2,2
"97","PASRUR",416,"PUNJAB","SIALKOT",1.8182561578,1022.20627572,1.89875036322,0.0972607312646,"413",4,4
"98","PATTOKI",346,"PUNJAB","KASUR",1.45208089868,844.634895385,1.45208089605,0.0795171817751,"344",2,2
"99","PHALIA",364,"PUNJAB","MANDI BAHAUDDIN",1.90946033367,1140.8828145,1.90946033998,0.108891981232,"361",2,2
"100","PIND DADAN KHAN",341,"PUNJAB","JHELUM",2.22578284353,1347.72350099,2.22578284469,0.129115102506,"339",2,2
"101","PINDI BHATTIAN",334,"PUNJAB","HAFIZABAD",1.58632297249,1179.65134225,1.58632297196,0.112138564342,"332",2,2
"102","PINDI GHEB",293,"PUNJAB","ATTOCK",2.3478440407,1544.9147662,2.34784403995,0.149286317059,"291",5,5
"103","PIPLAN",367,"PUNJAB","MIANWALI",1.64838341894,1197.12073252,1.6483834177,0.114576014895,"364",2,2
"104","QAIDABAD",353,"PUNJAB","KHUSHAB",1.85278253678,1281.14695243,1.85278254,0.122537654579,"350",2,2
"105","RAHIM YAR KHAN",390,"PUNJAB","RAHIM YAR KHAN",3.19613528256,2626.68337158,3.19613528595,0.242015708815,"387",5,5
"106","RAJANPUR",394,"PUNJAB","RAJANPUR",2.88511413783,2718.20427458,2.88511413927,0.252191747352,"391",5,5
"107","RAWALPINDI",401,"PUNJAB","RAWALPINDI",2.73041636703,1620.55254778,2.73041636994,0.156662062439,"398",5,5
"108","RENALA KHURD",385,"PUNJAB","OKARA",1.29656963822,624.348656984,1.29656963507,0.0586821187878,"382",2,2
"109","ROJHAN",395,"PUNJAB","RAJANPUR",2.98832848188,2798.61790342,2.98832848577,0.258689808987,"392",2,2
"110","SADIQABAD",391,"PUNJAB","RAHIM YAR KHAN",3.34690627885,2546.2114612,3.34690627907,0.234187657067,"388",2,2
"111","SAFDARABAD",377,"PUNJAB","NANKANA SAHIB",1.37390316715,604.092262341,1.37390316842,0.0572720991987,"374",2,2
"112","SAHIWAL",407,"PUNJAB","SARGODHA",1.58309796123,759.890241673,1.58309795635,0.0723090025332,"404",2,2
"113","SAHIWAL_SAHIWAL",404,"PUNJAB","SAHIWAL",2.47041660401,1644.6217452,2.47041660226,0.154299986255,"401",NA,NA
"114","SAMBRIAL",417,"PUNJAB","SIALKOT",0.93038272012,361.486892952,0.930382718135,0.0345015695785,"414",4,4
"115","SAMUNDARI",323,"PUNJAB","FAISALABAD",1.99834499707,869.034385888,1.99834499798,0.0818998719286,"321",5,5
"116","SARAI ALAMGIR",332,"PUNJAB","GUJRAT",1.30402385078,485.812193152,1.30402384861,0.0466285051914,"330",2,2
"117","SARGODHA",408,"PUNJAB","SARGODHA",2.67225025812,1457.87583697,2.6722502514,0.138883927065,"405",5,5
"118","SHAH KOT",378,"PUNJAB","NANKANA SAHIB",0.794801492104,244.432416933,0.794801490731,0.0231343055097,"375",2,2
"119","SHAHPUR",409,"PUNJAB","SARGODHA",1.55640045413,788.007613057,1.55640045276,0.0752400384685,"406",2,2
"120","SHAKARGARH",381,"PUNJAB","NAROWAL",1.88544982645,965.570144457,1.88544982779,0.0916775958928,"378",4,4
"121","SHANGLA HILL",379,"PUNJAB","NANKANA SAHIB",0.985367022193,302.877994057,0.985367022734,0.0287177847956,"376",5,5
"122","SHARAK PUR",413,"PUNJAB","SHEIKHUPURA",1.04654892947,375.597609276,1.04654892998,0.035484737582,"410",4,4
"123","SHEIKHUPURA",414,"PUNJAB","SHEIKHUPURA",2.18057511454,1260.02466276,2.1805751113,0.11936723864,"411",2,2
"124","SHORKOT",338,"PUNJAB","JHANG",2.40354430326,1227.90004748,2.40354430469,0.115646879067,"336",2,2
"125","SHUJABAD",371,"PUNJAB","MULTAN",1.36544309622,837.926435103,1.36544309362,0.0781807056617,"368",2,2
"126","SIALKOT",418,"PUNJAB","SIALKOT",1.67129765589,973.159471441,1.98059957331,0.0929130177081,"415",5,5
"127","SILLANWALI",410,"PUNJAB","SARGODHA",1.76430128771,611.342590105,1.76430128796,0.0580984094791,"407",2,2
"128","SOHAWA",342,"PUNJAB","JHELUM",2.06169542151,911.996248991,2.06169542141,0.0877252109475,"340",2,2
"129","TALA GANG",312,"PUNJAB","CHAKWAL",2.91318745663,3161.00813174,2.91318745393,0.304179588086,"310",4,4
"130","TANDLIANWALA",324,"PUNJAB","FAISALABAD",2.68567283601,1355.2444941,2.68567283347,0.12751031025,"322",2,2
"131","TAUNSA",318,"PUNJAB","DERA GHAZI KHAN",2.63620583243,2664.5741488,2.63620583273,0.251513980602,"316",5,5
"132","TAXILA",402,"PUNJAB","RAWALPINDI",0.896920123457,279.556575039,0.896920125034,0.0271365256772,"399",5,5
"133","TOBA TEK SINGH",421,"PUNJAB","TOBA TEK SINGH",2.28525495695,1270.46165257,2.28525496359,0.119640397247,"417",4,4
"134","VEHARI",424,"PUNJAB","VEHARI",2.2305024581,1391.50062985,2.2305024555,0.129881336181,"420",2,2
"135","WAZIRABAD",329,"PUNJAB","GUJRANWALA",1.7500991754,1211.96739087,1.75009917712,0.115534829789,"327",4,4
"136","YAZMAN",304,"PUNJAB","BAHAWALPUR",8.00816202689,19177.7459282,8.00816202682,1.76881531433,"302",2,2
"137","ZAFARWAL",382,"PUNJAB","NAROWAL",1.52921059629,641.622802609,1.52652791749,0.0610283651684,"379",4,4
