"","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","penta1_in_clinic","penta3_in_clinic","penta1_out_clinic","penta3_out_clinic"
"286",288,"PUNJAB","ATTOCK","ATTOCK",2.18616218185,1090.68004581,2.18616218911,0.105943930102,"286",1556,1199,0,4968
"287",289,"PUNJAB","ATTOCK","FATEH JANG",1.88092210929,1310.41839628,1.8809221135,0.126920035436,"287",3094,2378,0,3570
"288",290,"PUNJAB","ATTOCK","HASSANABDAL",1.27983265136,381.159837084,1.27983264822,0.0370387113205,"288",1465,1101,0,1654
"289",291,"PUNJAB","ATTOCK","HAZRO",1.21138895395,387.077207237,1.21138895688,0.0376718497539,"289",1730,1553,0,2887
"290",292,"PUNJAB","ATTOCK","JAND",3.18130298531,2122.88996139,3.18130298674,0.205458977304,"290",1917,2016,0,5374
"291",293,"PUNJAB","ATTOCK","PINDI GHEB",2.3478440407,1544.9147662,2.34784403995,0.149286317059,"291",2728,2252,0,6073
"292",294,"PUNJAB","BAHAWALNAGAR","BAHAWALNAGAR",2.12912171388,1803.39534023,2.16642707859,0.186810514192,"292",1769,1652,0,26660
"293",295,"PUNJAB","BAHAWALNAGAR","CHISHTIAN",2.45105532732,1823.78394265,2.45105531731,0.169562479346,"293",1739,1595,0,21203
"294",296,"PUNJAB","BAHAWALNAGAR","FORT ABBAS",2.75161484274,2401.52456911,2.75161484294,0.222078140748,"294",269,312,0,6279
"295",297,"PUNJAB","BAHAWALNAGAR","HAROONABAD",1.61757858231,1130.12582369,1.61757858226,0.104785487036,"295",1231,1300,0,13152
"296",298,"PUNJAB","BAHAWALNAGAR","MINCHINABAD",2.01380381391,1417.67937901,2.01380381224,0.132189415974,"296",884,950,0,14650
"297",299,"PUNJAB","BAHAWALPUR","AHMADPUR EAST",1.93178662608,1478.92405598,1.93178662251,0.137260383826,"297",6465,4222,0,21893
"298",300,"PUNJAB","BAHAWALPUR","BAHAWALPUR",2.73940956816,1181.25213355,2.73940957036,0.10962840541,"298",2563,1893,0,21374
"299",301,"PUNJAB","BAHAWALPUR","BAHAWALPUR CITY",1.53152629898,245.826837743,1.53152630021,0.0228364694867,"299",704,636,0,5991
"300",302,"PUNJAB","BAHAWALPUR","HASILPUR",2.46603391559,1124.31672477,2.46603391269,0.104523331801,"300",2444,1664,0,9578
"301",303,"PUNJAB","BAHAWALPUR","KHAIRPUR TAMEWALI",1.74800543405,725.334808558,1.74800543447,0.0674442908616,"301",1251,768,0,7752
"302",304,"PUNJAB","BAHAWALPUR","YAZMAN",8.00816202689,19177.7459282,8.00816202682,1.76881531433,"302",2652,2223,0,19061
"303",305,"PUNJAB","BHAKKAR","BHAKKAR",2.32535357851,1830.76182111,2.32535358358,0.173854499289,"303",2706,2211,0,18877
"304",306,"PUNJAB","BHAKKAR","DARYA KHAN",2.04510005276,1384.6620652,2.04510005477,0.13184421513,"304",1310,1250,0,7912
"305",307,"PUNJAB","BHAKKAR","KALUR KOT",1.93806691189,1749.69732296,1.93806691214,0.167006998465,"305",1123,920,0,11855
"306",308,"PUNJAB","BHAKKAR","MANKERA",2.75352050749,3560.98494102,2.75352050637,0.33758009463,"306",394,424,0,4691
"307",309,"PUNJAB","CHAKWAL","CHAKWAL",2.43162580846,2198.63402934,2.43162580967,0.21162524639,"307",3080,2694,0,16045
"308",310,"PUNJAB","CHAKWAL","CHOA SAIDAN SHAH",1.28463763389,501.718902781,1.28463763433,0.0481421202312,"308",847,791,0,4032
"309",311,"PUNJAB","CHAKWAL","KALLAR KAHAR",1.51871034445,831.659844434,1.51871034369,0.0798594359591,"309",581,647,0,6595
"310",312,"PUNJAB","CHAKWAL","TALA GANG",2.91318745663,3161.00813174,2.91318745393,0.304179588086,"310",2193,2041,0,12842
"311",313,"PUNJAB","CHINIOT","BHAWANA",1.54797736939,933.525449936,1.54797736906,0.0884537512945,"311",1840,1603,0,9668
"312",314,"PUNJAB","CHINIOT","CHINIOT",1.6546829257,699.458196472,1.65468292555,0.0663534855522,"312",1629,1521,0,18301
"313",315,"PUNJAB","CHINIOT","LALIAN",2.45111226495,983.041660884,2.45111226872,0.0933584651224,"313",1474,1074,0,12499
"314",316,"PUNJAB","DERA GHAZI KHAN","DE-EXCLUDED AREA D.G.KHAN",3.96172282897,5400.39160271,3.96172283377,0.507164769339,"314",182,192,0,1834
"315",317,"PUNJAB","DERA GHAZI KHAN","DERA GHAZI KHAN",3.01918214499,3621.19030989,3.01918214462,0.338753255345,"315",11884,7835,0,48007
"316",318,"PUNJAB","DERA GHAZI KHAN","TAUNSA",2.63620583243,2664.5741488,2.63620583273,0.251513980602,"316",4275,3420,0,19883
"317",319,"PUNJAB","FAISALABAD","CHAK JHUMRA",1.03382883415,524.889447645,1.03382883349,0.0497455691759,"317",416,461,0,13507
"318",320,"PUNJAB","FAISALABAD","FAISALABAD CITY",0.711983252894,200.950290049,0.711983255277,0.0190071083942,"318",1494,1647,0,67631
"320",322,"PUNJAB","FAISALABAD","JARANWALA",2.2915847202,1733.36550195,2.29158472165,0.163703285004,"320",3292,3355,0,33384
"321",323,"PUNJAB","FAISALABAD","SAMUNDARI",1.99834499707,869.034385888,1.99834499798,0.0818998719286,"321",1402,1621,0,18188
"322",324,"PUNJAB","FAISALABAD","TANDLIANWALA",2.68567283601,1355.2444941,2.68567283347,0.12751031025,"322",2760,2577,0,21737
"323",325,"PUNJAB","GUJRANWALA","GUJRANWALA",2.07008536976,787.248304336,2.0700853658,0.0748688664227,"323",3199,2955,0,19639
"324",326,"PUNJAB","GUJRANWALA","GUJRANWALA CITY",0.472759844967,79.3986074594,0.472759843897,0.00755086143794,"324",23,48,0,23201
"325",327,"PUNJAB","GUJRANWALA","KAMOKE",1.64943777675,681.300449904,1.64943777354,0.0646604484061,"325",1331,1469,0,10315
"326",328,"PUNJAB","GUJRANWALA","NOWSHERA VIRKHAN",1.5262022411,881.919645229,1.52620223534,0.0837694784389,"326",1471,1434,0,10034
"327",329,"PUNJAB","GUJRANWALA","WAZIRABAD",1.7500991754,1211.96739087,1.75009917712,0.115534829789,"327",6974,5884,0,16458
"328",330,"PUNJAB","GUJRAT","GUJRAT",2.02288037035,1437.93113871,2.02288036826,0.137498586922,"328",5408,5131,0,27532
"329",331,"PUNJAB","GUJRAT","KHARIAN",1.7655625208,1267.41775713,1.76556251931,0.121413241345,"329",5116,4629,0,27972
"330",332,"PUNJAB","GUJRAT","SARAI ALAMGIR",1.30402385078,485.812193152,1.30402384861,0.0466285051914,"330",2241,2086,0,9478
"331",333,"PUNJAB","HAFIZABAD","HAFIZABAD",1.43263955846,1102.35074242,1.43263955855,0.104911761787,"331",1378,1177,0,18391
"332",334,"PUNJAB","HAFIZABAD","PINDI BHATTIAN",1.58632297249,1179.65134225,1.58632297196,0.112138564342,"332",1196,997,0,12637
"333",335,"PUNJAB","JHANG","18-HAZARI",2.82382746245,1656.38940765,2.8238274598,0.156673432882,"333",783,564,0,14422
"334",336,"PUNJAB","JHANG","AHMEDPUR SIAL",1.60514279042,862.891123494,1.60514279469,0.081254902888,"334",908,548,0,8889
"335",337,"PUNJAB","JHANG","JHANG",3.51936040663,2615.34330548,3.51936039879,0.247510805332,"335",3888,3000,0,38762
"336",338,"PUNJAB","JHANG","SHORKOT",2.40354430326,1227.90004748,2.40354430469,0.115646879067,"336",952,769,0,15249
"337",339,"PUNJAB","JHELUM","DINA",2.12108622853,724.886527837,2.12108622953,0.0696878980999,"337",1834,1716,0,5223
"338",340,"PUNJAB","JHELUM","JHELUM",2.17828495334,605.697096804,2.17828495582,0.0581237798343,"338",3240,2982,0,10549
"339",341,"PUNJAB","JHELUM","PIND DADAN KHAN",2.22578284353,1347.72350099,2.22578284469,0.129115102506,"339",3152,2788,0,11805
"340",342,"PUNJAB","JHELUM","SOHAWA",2.06169542151,911.996248991,2.06169542141,0.0877252109475,"340",1482,1317,0,4214
"341",343,"PUNJAB","KASUR","CHUNIAN",1.82977106657,1181.82403748,1.82977106794,0.11094759583,"341",1775,1646,0,12270
"342",344,"PUNJAB","KASUR","KASUR",2.92286646652,1458.18747371,2.92286647186,0.137050059805,"342",3659,3251,0,19084
"343",345,"PUNJAB","KASUR","KOT RADHA KISHAN",1.07500856646,429.961468623,1.07500856362,0.0404713777675,"343",1415,1353,0,6703
"344",346,"PUNJAB","KASUR","PATTOKI",1.45208089868,844.634895385,1.45208089605,0.0795171817751,"344",2083,2206,0,8968
"345",347,"PUNJAB","KHANEWAL","JAHANIAN",1.45683001044,499.727509199,1.45683001066,0.0467037462545,"345",1518,1554,0,12285
"346",348,"PUNJAB","KHANEWAL","KABIRWALA",2.09632903821,1649.33782288,2.09632903847,0.154822348563,"346",1374,1484,0,32948
"347",349,"PUNJAB","KHANEWAL","KHANEWAL",1.86252546523,1192.84176893,1.86252547199,0.111678581631,"347",2193,2202,0,29316
"348",351,"PUNJAB","KHUSHAB","KHUSHAB",3.21807433133,2948.08275164,3.21807433131,0.282120633646,"348",2545,2424,0,28903
"349",352,"PUNJAB","KHUSHAB","NOORPUR",2.35770529337,2401.75161753,2.35770529374,0.228638041638,"349",354,310,0,10140
"350",353,"PUNJAB","KHUSHAB","QAIDABAD",1.85278253678,1281.14695243,1.85278254,0.122537654579,"350",783,710,0,10740
"351",354,"PUNJAB","LAHORE","LAHORE CANTT",1.89688566457,1037.43841716,1.8506433392,0.0979041316303,"351",2277,2483,0,31649
"352",355,"PUNJAB","LAHORE","LAHORE CITY",1.78899013741,656.331330988,1.78899013568,0.0619308895648,"352",1336,1516,0,18656
"353",356,"PUNJAB","LAYYAH","CHAUBARA",2.25973300018,2940.54723847,2.25973300174,0.277324077191,"353",1359,1029,0,6110
"354",357,"PUNJAB","LAYYAH","KAROR LAL ESAN",1.77193661749,1417.97067094,1.77193661791,0.134190706245,"354",5357,3720,0,14338
"355",358,"PUNJAB","LAYYAH","LAYYAH",2.08339814632,2022.48850758,2.08339814457,0.190730581555,"355",9626,7647,0,21709
"356",359,"PUNJAB","LODHRAN","DUNYA PUR",1.79712404302,806.767928427,1.79712404092,0.0752333544217,"356",2022,1701,0,15691
"357",360,"PUNJAB","LODHRAN","KARORPACCA",1.69493649807,714.550968972,1.69493650145,0.0664978827561,"357",1236,1085,0,20456
"358",361,"PUNJAB","LODHRAN","LODHRAN",1.8860463158,1142.96395348,1.88604631292,0.106353191974,"358",3521,2736,0,25477
"359",362,"PUNJAB","MANDI BAHAUDDIN","MALAKWAL",1.49364609961,749.137191113,1.49364609732,0.0716019165719,"359",2397,2432,0,13770
"360",363,"PUNJAB","MANDI BAHAUDDIN","MANDI BAHAUDDIN",1.3554163592,878.770324106,1.35541635726,0.0840603532713,"360",4713,4394,0,16917
"361",364,"PUNJAB","MANDI BAHAUDDIN","PHALIA",1.90946033367,1140.8828145,1.90946033998,0.108891981232,"361",1524,1444,0,16579
"362",365,"PUNJAB","MIANWALI","ISAKHEL",2.92341438718,1883.27458015,2.92341438284,0.18138317281,"362",2800,2365,0,8298
"363",366,"PUNJAB","MIANWALI","MIANWALI",2.77735101538,2952.13457317,2.77735101746,0.283593037576,"363",2993,2642,0,15641
"364",367,"PUNJAB","MIANWALI","PIPLAN",1.64838341894,1197.12073252,1.6483834177,0.114576014895,"364",1380,1201,0,7774
"365",368,"PUNJAB","MULTAN","JALALPUR PIRWALA",1.58360418199,871.275606975,1.58360418294,0.0810897034058,"365",1821,1416,0,7804
"366",369,"PUNJAB","MULTAN","MULTAN CITY",0.90767468391,285.76531824,0.907674684462,0.0267518025454,"366",2825,2303,0,35309
"367",370,"PUNJAB","MULTAN","MULTAN SADDAR",3.3057787094,1652.51714946,3.30577871126,0.154616692887,"367",4827,3781,0,20235
"368",371,"PUNJAB","MULTAN","SHUJABAD",1.36544309622,837.926435103,1.36544309362,0.0781807056617,"368",2954,2256,0,10135
"369",372,"PUNJAB","MUZAFFARGARH","ALIPUR",2.11452253728,1237.96880365,2.1145225361,0.114990192053,"369",2011,1503,0,5346
"370",373,"PUNJAB","MUZAFFARGARH","JATOI",1.72291298614,1033.16723336,1.7229129853,0.0962393044272,"370",2182,1449,0,3375
"371",374,"PUNJAB","MUZAFFARGARH","KOT ADDU",2.80958609351,3165.65535949,2.80958609222,0.297259256235,"371",4685,3536,0,10739
"372",375,"PUNJAB","MUZAFFARGARH","MUZAFFARGARH",3.87569596861,2232.41857061,3.87569596601,0.208819362273,"372",6641,4754,0,17010
"373",376,"PUNJAB","NANKANA SAHIB","NANKANA SAHAB",2.81182414419,1633.87601116,2.81182414106,0.154208975573,"373",1649,1430,0,28658
"374",377,"PUNJAB","NANKANA SAHIB","SAFDARABAD",1.37390316715,604.092262341,1.37390316842,0.0572720991987,"374",2031,2115,0,9071
"375",378,"PUNJAB","NANKANA SAHIB","SHAH KOT",0.794801492104,244.432416933,0.794801490731,0.0231343055097,"375",1085,910,0,6576
"376",379,"PUNJAB","NANKANA SAHIB","SHANGLA HILL",0.985367022193,302.877994057,0.985367022734,0.0287177847956,"376",550,484,0,8016
"377",380,"PUNJAB","NAROWAL","NAROWAL",1.41311476229,732.930131567,1.41311476685,0.0695530053472,"377",1497,1616,0,15129
"378",381,"PUNJAB","NAROWAL","SHAKARGARH",1.88544982645,965.570144457,1.88544982779,0.0916775958928,"378",2417,2637,0,16497
"379",382,"PUNJAB","NAROWAL","ZAFARWAL",1.52921059629,641.622802609,1.52652791749,0.0610283651684,"379",1611,1868,0,10938
"380",383,"PUNJAB","OKARA","DEPALPUR",2.93788346197,2560.28307703,2.93788346065,0.239735580389,"380",3588,2914,0,22137
"381",384,"PUNJAB","OKARA","OKARA",2.19811270868,1248.68094529,2.19811270634,0.117288230741,"381",2063,1862,0,28574
"382",385,"PUNJAB","OKARA","RENALA KHURD",1.29656963822,624.348656984,1.29656963507,0.0586821187878,"382",1590,1538,0,15664
"383",386,"PUNJAB","PAK PATTAN","ARIFWALA",2.39439927974,1361.71494823,2.24961725073,0.108238775033,"383",2118,2055,0,29310
"384",387,"PUNJAB","PAK PATTAN","PAK PATTAN",2.40955020617,1536.43933886,2.40955020532,0.143632580544,"384",2229,2135,0,28719
"385",388,"PUNJAB","RAHIM YAR KHAN","KHAN PUR",3.51049162345,3064.41486578,3.51049162487,0.282515559213,"385",4440,3380,0,6812
"386",389,"PUNJAB","RAHIM YAR KHAN","LIAQAT PUR",4.52230198472,4644.39522721,4.52230198127,0.427832750092,"386",3571,2530,0,13933
"387",390,"PUNJAB","RAHIM YAR KHAN","RAHIM YAR KHAN",3.19613528256,2626.68337158,3.19613528595,0.242015708815,"387",2613,2036,0,9150
"388",391,"PUNJAB","RAHIM YAR KHAN","SADIQABAD",3.34690627885,2546.2114612,3.34690627907,0.234187657067,"388",5063,3972,0,6837
"389",392,"PUNJAB","RAJANPUR","DE-EXCLUDED AREA RAJANPUR",4.67638595741,4794.03065535,4.67638595733,0.445137626897,"389",0,0,0,70
"390",393,"PUNJAB","RAJANPUR","JAMPUR",2.28883986333,2212.12198695,2.28883986292,0.206002067795,"390",4624,3207,0,4643
"391",394,"PUNJAB","RAJANPUR","RAJANPUR",2.88511413783,2718.20427458,2.88511413927,0.252191747352,"391",2638,1753,0,4444
"392",395,"PUNJAB","RAJANPUR","ROJHAN",2.98832848188,2798.61790342,2.98832848577,0.258689808987,"392",878,555,0,4053
"393",396,"PUNJAB","RAWALPINDI","GUJAR KHAN",2.32020822593,1480.87761076,2.32020822135,0.142837678932,"393",3357,2894,0,11358
"394",397,"PUNJAB","RAWALPINDI","KAHUTA",1.30855484875,614.738837862,1.30855484971,0.0595125445879,"394",2916,2518,0,5785
"395",398,"PUNJAB","RAWALPINDI","KALLAR SAYYEDAN",1.38207650907,471.215128682,1.38207650772,0.0455330586755,"395",1765,1704,0,3600
"396",399,"PUNJAB","RAWALPINDI","KOTLI SATTIAN",1.1416461299,368.717437104,1.14164612788,0.0357738018149,"396",437,406,0,2311
"397",400,"PUNJAB","RAWALPINDI","MURREE",1.1674013694,384.903634487,1.16740136747,0.0373834065647,"397",931,745,0,3862
"398",401,"PUNJAB","RAWALPINDI","RAWALPINDI",2.73041636703,1620.55254778,2.73041636994,0.156662062439,"398",4781,4361,0,21175
"399",402,"PUNJAB","RAWALPINDI","TAXILA",0.896920123457,279.556575039,0.896920125034,0.0271365256772,"399",716,539,0,5493
"400",403,"PUNJAB","SAHIWAL","CHICHAWATNI",2.60438483431,1587.54823798,2.60438483507,0.148738680975,"400",2527,2115,0,23868
"401",404,"PUNJAB","SAHIWAL","SAHIWAL_SAHIWAL",2.47041660401,1644.6217452,2.47041660226,0.154299986255,"401",0,0,0,0
"402",405,"PUNJAB","SARGODHA","BHALWAL",1.86984630083,1282.58564193,1.86984629344,0.122544463329,"402",2788,2500,0,18499
"403",406,"PUNJAB","SARGODHA","KOT MOMIN",1.45493377696,893.807035936,1.45493377581,0.085142475251,"403",1232,1155,0,5426
"404",407,"PUNJAB","SARGODHA","SAHIWAL",1.58309796123,759.890241673,1.58309795635,0.0723090025332,"404",3138,2670,0,55367
"405",408,"PUNJAB","SARGODHA","SARGODHA",2.67225025812,1457.87583697,2.6722502514,0.138883927065,"405",3403,2904,0,34944
"406",409,"PUNJAB","SARGODHA","SHAHPUR",1.55640045413,788.007613057,1.55640045276,0.0752400384685,"406",1283,1128,0,7729
"407",410,"PUNJAB","SARGODHA","SILLANWALI",1.76430128771,611.342590105,1.76430128796,0.0580984094791,"407",1142,1119,0,13132
"408",411,"PUNJAB","SHEIKHUPURA","FEROZEWALA",1.41514857599,459.805425732,1.41514858,0.0435004213713,"408",1735,1528,0,9088
"409",412,"PUNJAB","SHEIKHUPURA","MURIDKE",1.94167806466,949.578587079,1.94167806354,0.0899762354387,"409",1470,1310,0,11211
"410",413,"PUNJAB","SHEIKHUPURA","SHARAK PUR",1.04654892947,375.597609276,1.04654892998,0.035484737582,"410",336,342,0,2396
"411",414,"PUNJAB","SHEIKHUPURA","SHEIKHUPURA",2.18057511454,1260.02466276,2.1805751113,0.11936723864,"411",2270,2118,0,24833
"412",415,"PUNJAB","SIALKOT","DASKA",1.76277526185,754.418009897,1.76277525861,0.0718298774709,"412",3985,3849,0,13077
"413",416,"PUNJAB","SIALKOT","PASRUR",1.8182561578,1022.20627572,1.89875036322,0.0972607312646,"413",3308,3190,0,11021
"414",417,"PUNJAB","SIALKOT","SAMBRIAL",0.93038272012,361.486892952,0.930382718135,0.0345015695785,"414",1744,1548,0,5311
"415",418,"PUNJAB","SIALKOT","SIALKOT",1.67129765589,973.159471441,1.98059957331,0.0929130177081,"415",3540,3126,0,21099
"416",419,"PUNJAB","TOBA TEK SINGH","GOJRA",1.76805820098,691.338835198,1.76805820536,0.0652422067394,"416",1290,1227,0,11643
"417",421,"PUNJAB","TOBA TEK SINGH","TOBA TEK SINGH",2.28525495695,1270.46165257,2.28525496359,0.119640397247,"417",3643,3049,0,17982
"418",422,"PUNJAB","VEHARI","BUREWALA",2.32533132057,1501.83236697,2.32533131861,0.140263986149,"418",3559,2835,0,26673
"419",423,"PUNJAB","VEHARI","MAILSI",2.7438280031,1600.70171242,2.74382800834,0.149272386179,"419",4493,3677,0,23050
"420",424,"PUNJAB","VEHARI","VEHARI",2.2305024581,1391.50062985,2.2305024555,0.129881336181,"420",2484,2089,0,21674
"552",420,"PUNJAB","TOBA TEK SINGH","KAMALIA",2.2263451707,1117.0210278,2.2259433776,0.104929680598,"552",2484,1900,0,10750
"553",350,"PUNJAB","KHANEWAL","MIAN CHANNU",1.95870851483,1025.93116554,1.95830672507,0.0961376073697,"553",3617,3735,0,27106
